S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities,Scale_type
144,NATIONAL GALLERY SINGAPORE,Registered with IPC,200900977G,From 01/12/2021 to 30/11/2024,Arts and Heritage,"Historical & Cultural Conservation,Visual Arts","Public awareness, promotion & advisory Training & education Research",20000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
249,DANCE ENSEMBLE SINGAPORE LTD,Registered with IPC,199304358N,From 01/10/2022 to 31/3/2024,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",,5000000
198,Singapore Buddhist Welfare Services,Registered with IPC,S81SS0060H,From 01/7/2022 to 31/1/2024,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Training & education",20000000
286,EXTRAORDINARY PEOPLE LIMITED,Registered with IPC,201719854W,From 29/9/2021 to 28/9/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",5000000
122,Lembaga Biasiswa Kenangan Maulud (Prophet Muhammad 's Birthday Memorial Scholarship Fund Board),Registered with IPC,S66SS0027A,From 01/9/2021 to 31/8/2024,Others,General Charitable Purposes,Grantmaking,10000000
64,CLUB HEAL,Registered with IPC,T12SS0028K,From 29/4/2023 to 28/4/2026,Health,,"Direct Services Public awareness, promotion & advisory",10000000
135,"Muslim Missionary Society, Singapore, The",Registered,S61SS0055K,Not Applicable,Religious,Islam,"Direct Services Public awareness, promotion & advisory Training & education",20000000
253,Sunshine Welfare Action Mission (SWAMI),Registered with IPC,S88SS0104K,From 01/11/2022 to 31/10/2025,Health,Nursing Home,Direct Services,20000000
171,IMAGE MISSION LTD.,Registered with IPC,201506898W,From 01/1/2022 to 30/9/2024,Social and Welfare,Community,Direct Services,250000
622,Seventy Times Seven,Registered with IPC,T09CC0007H,From 01/10/2020 to 30/9/2023,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
488,Muslim Kidney Action Association (MKAC Association),Registered,T04SS0068D,Not Applicable,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory",5000000
281,ETONHOUSE COMMUNITY FUND LIMITED,Registered with IPC,201312095N,From 13/1/2023 to 12/12/2024,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory",5000000
162,Centre for Seniors,Registered with IPC,T06SS0199E,From 01/4/2021 to 30/9/2023,Health,Active Ageing,"Public awareness, promotion & advisory Training & education",5000000
17,ASSOCIATION OF MUSLIM PROFESSIONALS,Registered with IPC,199105100D,From 10/10/2018 to 09/10/2023,Others,Self-Help Groups,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",20000000
26,Bishan Home for the Intellectually Disabled,Registered with IPC,T07SS0102D,From 01/10/2021 to 30/6/2024,Social and Welfare,Disability (Adult),Direct Services,10000000
747,Xin Yuan Community Care,Registered with IPC,T05SS0150E,From 01/10/2022 to 31/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships Training & education",1000000
663,THE IRELAND FUNDS (SINGAPORE),Registered with IPC,200910045N,From 01/6/2022 to 31/5/2024,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Supports other Charities",1000000
58,BLESS COMMUNITY SERVICES,Registered with IPC,T08SS0032L,From 22/2/2022 to 21/11/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services Training & education,500000
172,Persatuan Ulama dan Guru-Guru Agama Islam(Singapura)(Islamic Scholars and Religious Teachers Assoc.),Registered,S57SS0012G,Not Applicable,Religious,Islam,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",20000000
482,Realm of Tranquility,Registered with IPC,S81SS0064C,From 24/4/2023 to 23/2/2025,Social and Welfare,Community,Direct Services,1000000
289,TSAO FOUNDATION,Registered with IPC,199302114W,From 14/9/2021 to 13/9/2024,Health,Others,Direct Services Training & education Research,20000000
14,ASCENDING HOPE COMMUNITY SERVICES LTD.,Registered with IPC,201623215G,From 09/4/2023 to 08/4/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities",250000
599,RONALD MCDONALD HOUSE CHARITIES SINGAPORE,Registered,S98SS0006C,Not Applicable,Health,Diseases/Illnessess Support Group,Grantmaking,5000000
47,BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S88CC0571D,From 01/10/2021 to 30/9/2024,Community,North East,"Financial assistance, bursaries & scholarships Training & education",500000
329,SINGAPORE HERITAGE SOCIETY,Registered with IPC,S87SS0042J,From 14/7/2021 to 13/7/2023,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Research",250000
432,ORCHESTRA OF THE MUSIC MAKERS LTD.,Registered with IPC,201002361G,From 06/9/2021 to 05/9/2023,Arts and Heritage,Music & Orchestras,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",1000000
368,HOPE WORLDWIDE (SINGAPORE),Registered with IPC,S98SS0151F,From 01/12/2020 to 31/5/2023,Social and Welfare,"Community,Disability (Adult),Eldercare,Family,Support Groups","Financial assistance, bursaries & scholarships Training & education",5000000
14,Adventist Nursing and Rehabilitation Centre,Registered with IPC,S97SS0048K,From 20/7/2021 to 19/7/2024,Health,,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",5000000
625,SHARED SERVICES FOR CHARITIES LIMITED,Registered with IPC,200823086Z,From 10/7/2022 to 09/7/2025,Others,General Charitable Purposes,Direct Services Supports other Charities,5000000
572,SINGAPORE ROAD SAFETY COUNCIL,Registered with IPC,T09SS0253D,From 21/7/2022 to 20/7/2025,Others,General Charitable Purposes,"Public awareness, promotion & advisory",1000000
190,Sian Chay Medical Institution,Registered with IPC,S62SS0055D,From 01/7/2021 to 30/6/2023,Health,TCM Clinic,Direct Services,20000000
604,SAGE COUNSELLING CENTRE,Registered with IPC,T08SS0025E,From 01/6/2022 to 31/5/2025,Health,Others; Mental Health,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research",5000000
101,JURONGHEALTH FUND,Registered with IPC,201118604G,From 01/9/2021 to 31/8/2024,Health,,Grantmaking,20000000
98,ITE EDUCATION FUND (ITEEF),Exempt Charity with IPC,T08CC3006B,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",20000000
324,Global Compact Network Singapore,Registered with IPC,T05SS0028L,From 05/8/2020 to 04/8/2023,Others,General Charitable Purposes,"Public awareness, promotion & advisory Research",5000000
294,MAJULAH COMMUNITY LIMITED,Registered,201021626N,Not Applicable,Others,Children/Youth,,50000
228,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,Registered with IPC,200504979Z,From 11/7/2022 to 10/7/2025,Education,Local Educational Institutions/Funds,Training & education,20000000
890,Yong-en Care Centre,Registered with IPC,S96SS0165G,From 01/1/2022 to 30/6/2024,Social and Welfare,"Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships",5000000
226,SINGAPORE THONG CHAI MEDICAL INSTITUTION,Registered with IPC,196000175E,From 01/7/2022 to 30/6/2025,Health,TCM Clinic,Direct Services,20000000
491,NAM HONG WELFARE SERVICE SOCIETY,Registered with IPC,T07SS0086D,From 08/1/2022 to 07/1/2025,Health,TCM Clinic,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",5000000
678,SINGAPORE INTERNATIONAL FILM FESTIVAL LTD,Registered with IPC,199404067R,From 01/10/2021 to 30/9/2023,Arts and Heritage,"Others,Visual Arts","Public awareness, promotion & advisory Training & education",5000000
499,SALEM WELFARE SERVICES LTD,Registered with IPC,199508102H,From 08/11/2020 to 07/11/2023,Health,,Direct Services,1000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
389,My Community,Registered,T10SS0125C,From 13/6/2021 to 12/9/2021,Arts and Heritage,Historical & Cultural Conservation,"Direct Services Public awareness, promotion & advisory Training & education Research",1000000
16,ALIFE LTD.,Registered with IPC,200204369H,From 28/8/2022 to 27/2/2025,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",1000000
176,PRO BONO SG,Registered with IPC,201700430E,From 01/4/2022 to 31/3/2025,Others,General Charitable Purposes,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory",10000000
250,Haemophilia Society of Singapore,Registered with IPC,S85SS0047A,From 01/1/2022 to 31/12/2024,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",1000000
185,SATA COMMHEALTH,Registered with IPC,194700119G,From 20/6/2022 to 19/6/2025,Health,Others,,20000000
96,ISEAS RESEARCH FUNDS,Exempt Charity with IPC,T08CC3005F,From 01/4/2021 to 31/3/2026,Education,Local Educational Institutions/Funds,,20000000
375,IIX GLOBAL CHARITABLE LIMITED,Registered,201006538Z,Not Applicable,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Training & education Research",5000000
115,CHECKPOINT THEATRE LIMITED,Registered with IPC,200209251R,From 01/1/2023 to 31/12/2024,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education",1000000
826,THEATREWORKS (SINGAPORE) LTD.,Registered with IPC,199001149D,From 01/1/2023 to 30/6/2024,Arts and Heritage,Theatre & Dramatic Arts,,5000000
185,Domestic Employees Welfare Fund,Registered with IPC,T16CC0008C,From 10/3/2022 to 09/9/2024,Social and Welfare,Support Groups,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",1000000
829,Thong Teck Home For Senior Citizens,Registered with IPC,T00SS0072B,From 29/5/2022 to 28/5/2025,Health,Nursing Home,,5000000
281,THYE HUA KWAN NURSING HOME LIMITED,Registered with IPC,201323219Z,From 29/6/2022 to 28/6/2025,Health,Nursing Home,Direct Services,20000000
512,SCWO-Star Shelter,Deregistered,T00CC1406K,From 01/5/2021 to 30/4/2023,Social and Welfare,Community,Direct Services,1000000
47,Asia Pacific Hospice Palliative Care Network,Registered,T01SS0003A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",5000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
507,SAWL SCHOLARSHIP FUND,Registered with IPC,S89CC0680J,From 01/1/2023 to 31/12/2025,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships",1000000
734,SSVP LTD.,Registered with IPC,201906514D,From 19/3/2022 to 18/3/2024,Social and Welfare,Family,"Financial assistance, bursaries & scholarships",5000000
235,SNEC HEALTH RESEARCH ENDOWMENT FUND,Registered with IPC,T02CC1574K,From 01/4/2021 to 31/3/2024,Health,,Training & education Research,20000000
377,INFANT JESUS HOMES AND CHILDREN'S CENTRES,Registered with IPC,S92CC0888D,From 01/1/2023 to 30/9/2025,Social and Welfare,Eldercare,Direct Services,5000000
594,RESILIENCE COLLECTIVE LTD.,Registered with IPC,201822261W,From 21/10/2022 to 20/10/2025,Health,Others; Mental Health,"Training & education Public awareness, promotion & advisory",5000000
150,NATIONAL UNIVERSITY OF SINGAPORE,Registered with IPC,200604346E,From 01/4/2021 to 31/3/2024,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships Training & education Research",20000000
693,SINGAPORE SQUASH RACKETS ASSOCIATION,Registered with IPC,S70SS0024H,From 12/4/2022 to 19/3/2025,Sports,NSAs,"Public awareness, promotion & advisory Training & education",5000000
32,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),Registered with IPC,S93SS0148C,From 01/3/2022 to 30/11/2024,Social and Welfare,"Children/Youth,Eldercare,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships",20000000
892,Youth Guidance Outreach Services,Registered with IPC,S96SS0067H,From 01/2/2023 to 30/6/2024,Social and Welfare,Children/Youth,Direct Services,5000000
159,NEW LIFE COMMUNITY SERVICES,Registered with IPC,T00SS0057E,From 01/4/2021 to 31/3/2024,Social and Welfare,Children/Youth,Direct Services,10000000
511,NeuGen Fund (formerly known as ISCOS ReGen Fund),Registered with IPC,S00CC0006G,From 15/3/2022 to 14/3/2025,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Financial assistance, bursaries & scholarships Training & education",5000000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
751,ZERO WASTE SG LIMITED,Registered,201528793W,Not Applicable,Others,Environment,"Public awareness, promotion & advisory Training & education Research",500000
524,NINE YEARS THEATRE LTD.,Registered with IPC,201221584C,From 14/11/2022 to 13/5/2024,Arts and Heritage,Theatre & Dramatic Arts,,5000000
201,SINGAPORE BALLET LIMITED,Registered with IPC,198702432N,From 02/6/2022 to 01/6/2023,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",Direct Services,10000000
146,NATIONAL HEALTHCARE GROUP FUND,Registered with IPC,201623926M,From 14/2/2021 to 13/2/2024,Health,,"Direct Services Research Training & education Public awareness, promotion & advisory",20000000
450,Loving Heart Multi-Service Centre,Registered with IPC,T03SS0014A,From 01/5/2023 to 31/3/2025,Social and Welfare,"Community,Eldercare,Family",Direct Services,5000000
113,CHARACTER & LEADERSHIP ACADEMY LIMITED,Registered,201412408N,Not Applicable,Others,Children/Youth,"Direct Services Research Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory",1000000
425,ODYSSEY DANCE THEATRE LTD,Registered with IPC,200107383N,From 01/12/2021 to 30/11/2024,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research",1000000
701,TOUCH INTERNATIONAL LTD.,Registered,200614290G,Not Applicable,Others,"General Charitable Purposes,Humanitarian Aid",Direct Services,1000000
295,Viriya Community Services,Registered with IPC,T01SS0059B,From 01/10/2020 to 30/9/2023,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research",20000000
241,SOUTH CENTRAL COMMUNITY FAMILY SERVICE CENTRE LIMITED,Registered with IPC,201301276N,From 01/1/2021 to 31/12/2023,Social and Welfare,"Community,Family","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Research",10000000
151,CASA RAUDHA WOMEN HOME,Deregistered,T08SS0051C,Not Applicable,Social and Welfare,Community,Direct Services,5000000
179,RAHMATAN LIL ALAMIN FOUNDATION LTD.,Registered with IPC,200910530Z,From 23/11/2021 to 22/11/2023,Others,General Charitable Purposes,Grantmaking,10000000
1,"*SCAPE CO., LTD.",Registered with IPC,200712761D,From 21/10/2021 to 20/10/2024,Others,Children/Youth,Direct Services,20000000
40,AVANT THEATRE & LANGUAGE,Registered,201105101N,Not Applicable,Arts and Heritage,"Literary Arts,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education",Direct Services Training & education,200000
631,TALENTTRUST LIMITED,Registered with IPC,201430501R,From 09/10/2021 to 08/10/2023,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education",1000000
598,SOWCARE LTD.,Registered,201918865M,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",500000
161,NTUC-U CARE FUND,Registered with IPC,T09CC0008D,From 01/5/2022 to 31/10/2024,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Financial assistance, bursaries & scholarships Supports other Charities",20000000
78,BUDS THEATRE,Registered,T11SS0182F,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research",500000
217,Singapore Kindness Movement,Registered with IPC,S97SS0063G,From 01/7/2021 to 30/6/2023,Others,General Charitable Purposes,"Public awareness, promotion & advisory",10000000
820,THE TENG COMPANY LTD.,Registered with IPC,201502077Z,From 01/1/2023 to 31/12/2025,Arts and Heritage,Music & Orchestras,"Direct Services Financial assistance, bursaries & scholarships Training & education Research",5000000
138,CHOWK PRODUCTIONS LTD.,Registered with IPC,201411870W,From 27/12/2022 to 31/12/2023,Arts and Heritage,"Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education",Training & education,500000
350,HEARTWARE NETWORK,Registered with IPC,T00SS0109G,From 01/1/2022 to 31/12/2023,Others,Children/Youth,Training & education,5000000
1,#CHECKED LIMITED,Registered,200920810R,Not Applicable,Others,Environment,,200000
195,SINGAPORE ARTS SCHOOL LTD.,Registered with IPC,200500775C,From 25/7/2020 to 24/7/2024,Arts and Heritage,Training & Education,"Financial assistance, bursaries & scholarships Training & education",20000000
94,Boys' Brigade in Singapore,Registered with IPC,S62SS0041D,From 30/8/2022 to 29/8/2025,Education,Uniformed Groups,Training & education,5000000
59,BHASKAR'S ARTS ACADEMY LTD,Registered with IPC,199907527E,From 01/1/2023 to 31/12/2024,Arts and Heritage,Traditional Ethnic Performing Arts,Direct Services,1000000
102,CATCH THEM YOUNG LIMITED,Registered with IPC,201540730N,From 21/9/2022 to 20/9/2023,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education",500000
50,ASIAN FILM ARCHIVE,Registered with IPC,200500010H,From 13/1/2022 to 12/1/2024,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education",5000000
8,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,Registered with IPC,200201385C,From 27/9/2022 to 26/9/2025,Health,,"Direct Services Training & education Public awareness, promotion & advisory",20000000
706,Siong Leng Musical Association,Registered with IPC,S41SS0003J,From 29/4/2022 to 28/4/2024,Arts and Heritage,Traditional Ethnic Performing Arts,,5000000
275,HUG COMMUNITY SERVICES LIMITED,Registered with IPC,201430532E,From 26/12/2022 to 25/9/2023,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Training & education",500000
259,DING YI MUSIC COMPANY LTD.,Registered with IPC,201101809W,From 01/4/2021 to 30/9/2023,Arts and Heritage,Music & Orchestras,,5000000
474,PROJECT SMILE LIMITED,Registered with IPC,201406530G,From 04/2/2023 to 03/7/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups",,500000
277,EQUESTRIAN FEDERATION OF SINGAPORE (E.F.S),Registered with IPC,S76SS0030D,From 07/5/2021 to 06/5/2024,Sports,NSAs,"Public awareness, promotion & advisory",5000000
748,Tampines Arts Troupe,Registered with IPC,S91SS0060L,From 01/10/2022 to 30/9/2024,Arts and Heritage,Traditional Ethnic Performing Arts,"Public awareness, promotion & advisory Training & education",200000
18,ALIVE COMMUNITY NETWORK,Registered with IPC,T02SS0190K,From 01/11/2020 to 31/10/2023,Social and Welfare,Community,,1000000
177,Public Free Clinic Society,Registered with IPC,S95SS0069F,From 01/7/2021 to 30/6/2024,Health,TCM Clinic,"Direct Services Public awareness, promotion & advisory",10000000
123,Man Fut Tong Nursing Home,Registered with IPC,S80SS0179G,From 11/10/2020 to 10/10/2023,Health,Nursing Home,Direct Services,20000000
262,DRAMA BOX LTD.,Registered with IPC,200517863N,From 01/2/2022 to 31/1/2025,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Training & education Research",5000000
10,Adventist Community Services,Registered,S60SS0011A,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",500000
20,Bethel Community Services,Registered with IPC,T04SS0113A,From 01/9/2021 to 31/8/2024,Social and Welfare,"Children/Youth,Community,Family","Direct Services Financial assistance, bursaries & scholarships Supports other Charities",10000000
13,Adventist Home for the Elders,Registered with IPC,S80SS0046B,From 01/8/2021 to 31/10/2023,Social and Welfare,Eldercare,Direct Services,5000000
602,Sri Krishna Mandir Welfare Society,Registered,T02SS0007A,Not Applicable,Social and Welfare,"Children/Youth,Community,Disability (Adult),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education",1000000
588,SOCIAL CREATIVES LTD.,Deregistered,200813216C,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Others,Visual Arts","Direct Services Public awareness, promotion & advisory Supports other Charities",1000000
449,"LOVE, NILS LTD.",Registered with IPC,201724930Z,From 22/4/2022 to 21/4/2024,Health,Other Community-based Services,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education",5000000
87,Geylang East Home For The Aged,Registered with IPC,T01SS0110J,From 01/8/2022 to 31/7/2024,Social and Welfare,Eldercare,Direct Services,10000000
157,NGEE ANN POLYTECHNIC FUND,Exempt Charity with IPC,T08CC3009A,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,"Research Financial assistance, bursaries & scholarships Training & education",20000000
745,YOUNG PEOPLE'S PERFORMING ARTS ENSEMBLE LTD,Registered with IPC,199900287D,From 25/5/2022 to 24/11/2023,Arts and Heritage,Theatre & Dramatic Arts,,500000
118,Ling Kwang Home For Senior Citizens,Registered with IPC,T08SS0070F,From 01/2/2023 to 31/1/2026,Health,Nursing Home,Direct Services,20000000
461,PM.Haze,Registered,T16SS0125L,Not Applicable,Others,Environment,"Public awareness, promotion & advisory Training & education Research",500000
178,DECK PHOTOGRAPHY ART CENTRE LTD.,Registered with IPC,201215478E,From 20/1/2023 to 19/7/2024,Arts and Heritage,"Others,Training & Education,Visual Arts","Research Training & education Public awareness, promotion & advisory",1000000
710,SOCIETY FOR CONTINENCE (SINGAPORE),Registered with IPC,S91SS0100E,From 10/2/2023 to 09/2/2026,Health,,"Public awareness, promotion & advisory Training & education",5000000
21,AMBULANCE WISH (SINGAPORE) LTD.,Registered,201916704W,Not Applicable,Social and Welfare,Community,Direct Services,200000
238,COUNSELLING AND CARE CENTRE,Registered with IPC,S75SS0014F,From 01/9/2020 to 31/8/2023,Social and Welfare,"Community,Family","Direct Services Supports other Charities Training & education Public awareness, promotion & advisory",5000000
622,SUPPORT FOR THE ARTS FUND,Exempt Charity with IPC,T08CC3019F,From 01/8/2020 to 31/7/2023,Arts and Heritage,"Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts","Public awareness, promotion & advisory",1000000
200,Epilepsy Care Group (Singapore),Registered with IPC,S95SS0164F,From 09/8/2022 to 08/8/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Training & education Research",500000
307,Helping and Empowering our Neighbours (HEN),Registered,T18SS0191F,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships Training & education",200000
531,SHENG HONG ARTS INSTITUTE,Registered,T09SS0065H,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education","Direct Services Public awareness, promotion & advisory Training & education",500000
376,MERCYLIGHT ANIMAL RESCUE AND SANCTUARY LIMITED,Registered with IPC,201502278Z,From 24/1/2022 to 23/7/2023,Others,Animal Welfare,"Direct Services Public awareness, promotion & advisory Training & education",1000000
89,"Girls' Brigade, Singapore , The",Registered with IPC,S61SS0001A,From 01/9/2022 to 31/8/2025,Education,Uniformed Groups,,10000000
204,SINGAPORE CHRISTIAN HOME,Registered with IPC,S77SS0040C,From 22/1/2023 to 21/1/2026,Health,Nursing Home,Direct Services,20000000
159,Civilians Association (Singapore),Registered,S72SS0023L,Not Applicable,Others,General Charitable Purposes,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory",500000
235,CORNERSTONE COMMUNITY SERVICES,Registered with IPC,S96SS0151G,From 01/11/2020 to 31/10/2023,Social and Welfare,"Children/Youth,Community,Family","Direct Services Financial assistance, bursaries & scholarships Training & education",5000000
428,ONE HOPE CENTRE,Registered with IPC,T04SS0143E,From 01/2/2022 to 31/1/2025,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory",1000000
76,BRAIN TUMOUR SOCIETY (SINGAPORE) LIMITED,Registered with IPC,201912577E,From 08/6/2022 to 07/6/2023,Health,Other Community-based Services,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education",200000
13,ARTSEQUATOR LTD.,Registered,201701329M,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Theatre & Dramatic Arts,Training & Education","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research",250000
168,Concern & Care Society,Registered,T01SS0058F,From 01/2/2021 to 31/1/2023,Health,"Other Community-based Services,Others",Direct Services,500000
232,SINGHEALTH FUND,Registered with IPC,201624016E,From 27/3/2022 to 26/3/2025,Health,Cluster/Hospital Funds,"Grantmaking Financial assistance, bursaries & scholarships Training & education Research",20000000
184,Republic Polytechnic Education Fund,Registered with IPC,T03CC1740J,From 01/4/2022 to 31/3/2027,Education,Local Educational Institutions/Funds,Training & education,10000000
535,WORLD-IN-THEATRE LTD.,Registered,200207216G,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,Training & education,50000
215,SINGAPORE MANAGEMENT UNIVERSITY,Registered with IPC,200000267Z,From 01/1/2022 to 31/12/2024,Education,Local Educational Institutions/Funds,Training & education,20000000
77,Breastfeeding Mothers' Support Group (Singapore),Registered with IPC,S91SS0021J,From 08/12/2022 to 07/12/2023,Health,Others,"Public awareness, promotion & advisory",200000
609,ST. JOSEPH'S INSTITUTION PHILANTHROPIC FUND FOR THE LASALLIAN MISSION LTD.,Registered with IPC,201024306N,From 07/1/2020 to 06/1/2025,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Training & education",500000
684,SINGAPORE NATIONAL PARALYMPIC COUNCIL LTD.,Registered with IPC,200812207D,From 23/7/2021 to 22/7/2024,Sports,Disability Sports,"Direct Services Training & education Public awareness, promotion & advisory",5000000
841,TOY FACTORY PRODUCTIONS LTD.,Registered with IPC,200613422M,From 28/6/2022 to 27/6/2024,Arts and Heritage,Theatre & Dramatic Arts,Direct Services,5000000
366,HONOUR (SINGAPORE) LTD.,Registered with IPC,201405223G,From 21/5/2022 to 20/5/2025,Others,General Charitable Purposes,"Public awareness, promotion & advisory",5000000
261,Philippine Bayanihan Society (Singapore),Registered,T01SS0179C,Not Applicable,Others,General Charitable Purposes,Training & education,250000
382,ISCA CARES LIMITED,Registered with IPC,201532966C,From 24/9/2021 to 23/9/2024,Social and Welfare,"Children/Youth,Community","Financial assistance, bursaries & scholarships",5000000
232,Conservation International Singapore Conservation Trust,Registered with IPC,T17CC0001C,From 20/2/2023 to 19/3/2024,Others,Environment,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education Research",5000000
169,PEOPLE'S ASSOCIATION - (COMMUNITY DEVELOPMENT COUNCIL PROJECT FUND MANAGEMENT COMMITTEE),Exempt Charity with IPC,T07CC3010D,From 01/4/2022 to 31/3/2027,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",20000000
372,I Love Children,Registered with IPC,T05SS0233G,From 22/8/2022 to 21/11/2023,Social and Welfare,"Children/Youth,Family","Public awareness, promotion & advisory",5000000
